Part 1: 248131121
Part 2: 31580383
         83659 function calls (81445 primitive calls) in 0.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 numeric.py:159(ones)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
      153    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      106    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6744(<genexpr>)
      290    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        6    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
       99    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
       78    0.000    0.000    0.000    0.000 _internal.py:795(<genexpr>)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6702(numeric_type_aliases)
       67    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 core.py:3087(view)
        4    0.000    0.000    0.000    0.000 _datasource.py:503(_sanitize_relative_path)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:498(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
      358    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6703(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       22    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        5    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        7    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 core.py:6376(__array_finalize__)
        6    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       17    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       44    0.000    0.000    0.000    0.000 enum.py:557(__new__)
        2    0.000    0.000    0.000    0.000 _datasource.py:517(exists)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
